Province,2000,2019
Almería,"15,186","21,196"
Cádiz,"12,101","18,629"
Córdoba,"10,714","18,057"
Granada,"10,600","18,887"
Huelva,"12,974","20,319"
Jaén,"10,397","17,997"
Málaga,"11,788","19,279"
Sevilla,"12,080","20,894"
Huesca,"16,055","28,453"
Teruel,"16,696","25,761"
Zaragoza,"16,878","29,238"
Asturias,"13,418","23,240"
Islas Baleraes,"20,094","28,522"
"Palmas, Las","16,183","21,446"
Santa Cruz de Tenerife,"15,008","21,324"
Cantabria,"14,934","24,350"
Ávila,"12,597","20,894"
Burgos,"17,709","30,266"
León,"13,161","22,158"
Palencia,"14,549","28,073"
Salamanca,"12,652","21,666"
Segovia,"15,889","22,670"
Soria,"15,797","28,695"
Valladolid,"16,056","27,523"
Zamora,"11,146","20,370"
Albacete,"11,809","21,838"
Ciudad Real,"12,454","21,550"
Cuenca,"12,002","22,944"
Guadalajara,"13,852","21,227"
Toledo,"12,596","19,030"
Barcelona,"19,354","31,733"
Girona,"19,501","28,730"
Lleida,"19,235","29,574"
Tarragona,"20,212","30,776"
Alicante/Alacant,"14,126","20,116"
Castellón/Castelló,"18,395","28,310"
Valencia/València,"15,263","24,088"
Badajoz,"10,171","18,539"
Cáceres,"10,114","20,613"
"Coruña, A","12,735","24,490"
Lugo,"11,831","24,052"
Ourense,"11,183","23,434"
Pontevedra,"12,678","23,131"
Madrid,"21,380","36,049"
Murcia,"13,364","21,596"
Navarra,"20,322","32,030"
Álava,"22,101","36,624"
Bizkaia,"18,657","32,630"
Gipuzkoa,"20,058","34,789"
La Rioja,"17,854","28,128"
Ceuta,"14,334","20,960"
Melilla,"14,122","19,224"
